,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
38622,38622,0679405828,Jane Eyre (Everyman's Library Series),Charlotte Bronte,1991.0,Unknown Publisher - Being Researched,http://images.amazon.com/images/P/0679405828.01.MZZZZZZZ.jpg,9,9,9
38625,38625,0679409033,Love Always Remembers: A Book of Poems,Joan Walsh Anglund,1997.0,Random House,http://images.amazon.com/images/P/0679409033.01.MZZZZZZZ.jpg,9,9,9
38626,38626,0679423079,Nicholas Nickleby (Everyman's Library),Charles Dickens,1993.0,Alfred A. Knopf,http://images.amazon.com/images/P/0679423079.01.MZZZZZZZ.jpg,"A satire on England&#39;s educational system tells of the harsh
schoolmasters and the boys who are at their mercy.",en,Fiction
38627,38627,0679433228,Erotic Poems (Everyman's Library Pocket Poets),Peter Washington,1994.0,Everyman's Library,http://images.amazon.com/images/P/0679433228.01.MZZZZZZZ.jpg,9,9,9
38631,38631,0679735909,Possession : A Romance,A.S. BYATT,1991.0,Vintage,http://images.amazon.com/images/P/0679735909.01.MZZZZZZZ.jpg,9,9,9
38772,38772,0679751343,Angels & Insects : Two Novellas,A.S. BYATT,1994.0,Vintage,http://images.amazon.com/images/P/0679751343.01.MZZZZZZZ.jpg,"Presents two novellas--&quot;The Conjugal Angel,&quot; which reveals
human preoccupation with God and life after death, and &quot;Morpho
Eugenia,&quot; a gothic fable about Victorian obsessions with
Darwinism and sexuality",en,Fiction
38791,38791,067976402X,Snow Falling on Cedars,David Guterson,1995.0,Vintage Books USA,http://images.amazon.com/images/P/067976402X.01.MZZZZZZZ.jpg,"In 1954, Ishmael Chambers, a local reporter who lost an arm in the
war, covers the murder trial of a Japanese American fisherman, whose
wife had been Ishmael&#39;s childhood sweetheart",en,Fiction
39405,39405,0679879242,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1996.0,Knopf Books for Young Readers,http://images.amazon.com/images/P/0679879242.01.MZZZZZZZ.jpg,"Accompanied by her daemon, Lyra Belacqua sets out to prevent her best
friend and other kidnapped children from becoming the subject of
gruesome experiments in the Far North.",en,Arctic regions
39451,39451,0679879250,"The Subtle Knife (His Dark Materials, Book 2)",Philip Pullman,1997.0,Alfred A. Knopf,http://images.amazon.com/images/P/0679879250.01.MZZZZZZZ.jpg,"Here is the highly anticipated second installment of Philip
Pullman&#39;s epic fantasy trilogy, begun with the critically
acclaimed &quot;The Golden Compass.",en,Juvenile Fiction
39477,39477,0681415207,The Immortal John Lennon: 1940-1980 (The Immortal Series),Michael Heatley,1992.0,Longmeadow Press,http://images.amazon.com/images/P/0681415207.01.MZZZZZZZ.jpg,9,9,9
39478,39478,0684833395,Catch 22,Joseph Heller,1996.0,Simon & Schuster,http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg,9,9,9
39586,39586,0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999.0,Scribner,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg,"&quot;When I look back on my childhood I wonder how I managed to
survive at all.",en,Biography & Autobiography
39912,39912,0684874350,ANGELA'S ASHES,Frank McCourt,1996.0,Scribner,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,"The author recounts his childhood in Depression-era Brooklyn as the
child of Irish immigrants who decide to return to worse poverty in
Ireland when his infant sister dies. 40,000 first printing. $35,000
ad/promo.",en,Biography & Autobiography
40181,40181,0743225406,The Shipping News : A Novel,Annie Proulx,2001.0,Scribner,http://images.amazon.com/images/P/0743225406.01.MZZZZZZZ.jpg,9,9,9
40373,40373,0743245024,The Forsyte Saga : The Man of Property and In Chancery,John Galsworthy,2002.0,Touchstone,http://images.amazon.com/images/P/0743245024.01.MZZZZZZZ.jpg,9,9,9
40384,40384,0749748001,The Enchanted Wood,Enid Blyton,2002.0,Egmont Childrens Books,http://images.amazon.com/images/P/0749748001.01.MZZZZZZZ.jpg,9,9,9
40387,40387,0749748028,The Folk of the Faraway Tree,Enid Blyton,2002.0,Egmont Childrens Books,http://images.amazon.com/images/P/0749748028.01.MZZZZZZZ.jpg,9,9,9
40389,40389,0765300222,Into the Green,Charles de Lint,2001.0,Orb Books,http://images.amazon.com/images/P/0765300222.01.MZZZZZZZ.jpg,"Harping, she knew, was on third of a bard&#39;s spells. Harping, and
poetry, and the road that led . . . Into the Green Charles de Lint
takes us once again into lands infused and transformed by magic.",en,Fiction
40391,40391,0801957729,Tripping in America;: Off the beaten track,Bill Thomas,1974.0,Chilton Book Co,http://images.amazon.com/images/P/0801957729.01.MZZZZZZZ.jpg,9,9,9
40405,40405,080410753X,The Kitchen God's Wife,Amy Tan,1992.0,Ivy Books,http://images.amazon.com/images/P/080410753X.01.MZZZZZZZ.jpg,9,9,9
40678,40678,0804108552,Dead in the Water,Julie Smith,1993.0,Fawcett Books,http://images.amazon.com/images/P/0804108552.01.MZZZZZZZ.jpg,9,9,9
40690,40690,0808520695,Cat's Cradle,Kurt Vonnegut,1999.0,Sagebrush Bound,http://images.amazon.com/images/P/0808520695.01.MZZZZZZZ.jpg,"A young writer decides to interview the children of a scientist
primarily responsible for the creation of the atomic bomb",en,Fiction
40701,40701,0811826848,The Beatles Anthology,Paul McCartney,2000.0,Chronicle Books,http://images.amazon.com/images/P/0811826848.01.MZZZZZZZ.jpg,"Created in cooperation with the surviving Beatles and Yoko Ono, this
anthology of personal memorabilia, documents, photographs, and other
items from personal archives chronicles the band&#39;s Liverpool
origins, rise to fame, and breakup.",en,Biography & Autobiography
40708,40708,0812516214,Dreams Underfoot,Charles De Lint,1995.0,Tor Books,http://images.amazon.com/images/P/0812516214.01.MZZZZZZZ.jpg,"Newford&#39;s citizens--fey folk, magicians, hustlers, painters,
fiddlers, and ordinary people--stumble headfirst into enchanting
adventures.",en,Fiction
40730,40730,0812542819,Divine Endurance,Gwyneth Jones,1989.0,Tor Books,http://images.amazon.com/images/P/0812542819.01.MZZZZZZZ.jpg,"Divine Endurance, an intelligent cat, accompanies Chosen Among the
Beautiful, a manufactured human, as she leaves the citadel to explore
the world outside",en,Fiction
40734,40734,0821771949,A Country Courtship (Zebra Regency Romance),Donna Simpson,2002.0,Kensington Publishing Corporation,http://images.amazon.com/images/P/0821771949.01.MZZZZZZZ.jpg,9,9,9
40740,40740,086140324X,Colour of Magic (Discworld Novels (Hardcover)),Terry Pratchett,1989.0,Colin Smythe,http://images.amazon.com/images/P/086140324X.01.MZZZZZZZ.jpg,"The Color of Magic is Terry Pratchett&#39;s maiden voyage through the
now-legendary land of Discworld. This is where it all begins? with the
tourist Twoflower and his wizard guide, Rincewind.",en,Fiction
40742,40742,0871131811,Zodiac: The Eco-Thriller,Neal Stephenson,1988.0,Pub Group West,http://images.amazon.com/images/P/0871131811.01.MZZZZZZZ.jpg,"Sangamon Taylor, an environmental extremist, sets out to discover the
source of dangerously high levels of radiation in the Boston Harbor,
teams up with some unlikely types, and battles corruption all the way
to the level of a would-be ...",en,9
40747,40747,088001380X,Worshipful Company of Fletchers: Poems,James Tate,1994.0,W W Norton & Co Inc,http://images.amazon.com/images/P/088001380X.01.MZZZZZZZ.jpg,"Masterfully drawing on a variety of voices and characters, James Tate
joyfully offers his first book since winning the Pulitzer Prize in
1992 for his &quot;Selected Poems.&quot;",en,Poetry
40755,40755,088396452X,To My Daughter With Love on the Important Things in Life (More Family Titles),Susan Polis Schutz,1997.0,Blue Mountain Arts,http://images.amazon.com/images/P/088396452X.01.MZZZZZZZ.jpg,9,9,9
40756,40756,0895774011,The return of Sherlock Holmes (World's best reading),Arthur Conan Doyle,1991.0,Reader's Digest Association,http://images.amazon.com/images/P/0895774011.01.MZZZZZZZ.jpg,9,9,9
40763,40763,0895775522,The further adventures of Sherlock Holmes (World's best reading),Arthur Conan Doyle,1993.0,Reader's Digest Association,http://images.amazon.com/images/P/0895775522.01.MZZZZZZZ.jpg,"A collection of later Sherlock Holmes stories, continuing the famed
detective&#39;s adventures after his demise in an 1891 story, and
resurrection in 1903.",en,Detective and mystery stories
40765,40765,0963094424,Angels and Visitations: A Miscellany,Neil Gaiman,1993.0,Dreamhaven Books,http://images.amazon.com/images/P/0963094424.01.MZZZZZZZ.jpg,"A miscellany of fiction, humour, non-fiction, poetry, and artwork,
Angels &amp; visitations journeys from science fiction and fantasy
shorts to detective stories and meticulously-researched literary
works.",en,Fiction
40768,40768,0965834581,Candles for Elizabeth,Caitlin R. Kiernan,1998.0,Meisha Merlin Pub,http://images.amazon.com/images/P/0965834581.01.MZZZZZZZ.jpg,9,9,9
40786,40786,1401200893,"Endless Nights (The Sandman, Book 11)",Neil Gaiman,2003.0,DC Comics,http://images.amazon.com/images/P/1401200893.01.MZZZZZZZ.jpg,"Presents a collection of seven graphic stories that feature the
character known as &quot;The Sandman&quot; who rules over humans as
they sleep.",en,Comics & Graphic Novels
40793,40793,1401201172,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",Alan Moore,2003.0,DC Comics,http://images.amazon.com/images/P/1401201172.01.MZZZZZZZ.jpg,"Once again a call goes out through the channels of British Military
Intelligence to an Improbable group of champions: The League of
Extraordinary Gentlemen.",en,"Comic books, strips, etc"
40797,40797,1551660237,Tiger Prince,Kenneth T. Brown,1994.0,Mira,http://images.amazon.com/images/P/1551660237.01.MZZZZZZZ.jpg,"Tiger Prince by Sandra Brown released on Sep 23, 1994 is available now
for purchase.",en,Fiction
40801,40801,155166500X,Independent Wife (Calhoun Women),Linda Howard,1999.0,Mira,http://images.amazon.com/images/P/155166500X.01.MZZZZZZZ.jpg,"An Independent Wife by Linda Howard released on Mar 25, 1999 is
available now for purchase.",en,Fiction
40811,40811,1551667894,Four Seasons,Mary Alice Monroe,2001.0,Mira,http://images.amazon.com/images/P/1551667894.01.MZZZZZZZ.jpg,9,9,9
40850,40850,1551667959,7b,Stella Cameron,2001.0,Mira,http://images.amazon.com/images/P/1551667959.01.MZZZZZZZ.jpg,"7B by Stella Cameron released on Feb 22, 2001 is available now for
purchase.",en,Fiction
40880,40880,1556520743,Assata: An Autobiography (Lawrence Hill & Co.),Assata Shakur,1987.0,Lawrence Hill Books,http://images.amazon.com/images/P/1556520743.01.MZZZZZZZ.jpg,9,9,9
40884,40884,1563890356,"Season of Mists (Sandman, Book 4)",Neil Gaiman,1999.0,DC Comics,http://images.amazon.com/images/P/1563890356.01.MZZZZZZZ.jpg,"A collection of short works offers stories that range in setting from
a ghost-ridden cellar to a hotel convention of serial kilers, and
includs works by Gene Wolfe, Clive Barker, Tad Williams, and Barbara
Hambly.",en,"Comic books, strips, etc"
40885,40885,1563892251,"The Doll's House (Sandman, Book 2)",Neil Gaiman,1999.0,DC Comics,http://images.amazon.com/images/P/1563892251.01.MZZZZZZZ.jpg,"An attempt to summon and imprison Death, results, instead, in the
capture of Morpheus, the Sandman, who must regain the tools of his
powers.",en,Comics & Graphic Novels
40886,40886,156389226X,"Dream Country (Sandman, Book 3)",Neil Gaiman,1999.0,DC Comics,http://images.amazon.com/images/P/156389226X.01.MZZZZZZZ.jpg,"An occultist attempting to capture Death to bargain for eternal life
traps her younger brother, Dream, instead. After his 70 year
imprisonment and eventual escape, Dream, a.k.a. The Sandman, goes on a
quest for his lost objects of power.",en,"Fantasy comic books, strips, etc"
40889,40889,1563892278,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,1998.0,DC Comics,http://images.amazon.com/images/P/1563892278.01.MZZZZZZZ.jpg,"A collection of eight comics that introduce the series&#39; lead
character, the Sandman, Lord of Dreams.",en,Comics & Graphic Novels
40891,40891,1563892464,Mr. Punch,Neil Gaiman,1995.0,DC Comics,http://images.amazon.com/images/P/1563892464.01.MZZZZZZZ.jpg,9,9,9
40893,40893,1563895730,Sandman: The Dream Hunters,Neil Gaiman,1999.0,DC Comics,http://images.amazon.com/images/P/1563895730.01.MZZZZZZZ.jpg,9,9,9
40901,40901,1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,2002.0,DC Comics,http://images.amazon.com/images/P/1563898586.01.MZZZZZZZ.jpg,9,9,9
40932,40932,1565041992,The Day I Swapped My Dad for 2 Goldfish,Neil Gaiman,1998.0,White Wolf Games Studio,http://images.amazon.com/images/P/1565041992.01.MZZZZZZZ.jpg,9,9,9
40940,40940,1566197589,Lady Chatterleys Lover,D H Lawrence,1994.0,Barnes Noble Books,http://images.amazon.com/images/P/1566197589.01.MZZZZZZZ.jpg,9,9,9
40949,40949,1567310877,Shout!: The Beatles in Their Generation,Philip Norman,1997.0,MJF Books,http://images.amazon.com/images/P/1567310877.01.MZZZZZZZ.jpg,"Now brought completely up to date, this epic tale charts the rise of
four scruffy Liverpool lads from their wild, often comical early days
to the astonishing heights of Beatlemania, from the chaos of Apple and
the collapse of hippy idealism ...",en,Music
40952,40952,156971620X,Harlequin Valentine,Neil Gaiman,2002.0,Dark Horse Comics,http://images.amazon.com/images/P/156971620X.01.MZZZZZZZ.jpg,"Dark Horse Manga and Harlequin Books are delighted to present a
shining new line of books that marry two of the most successful
phenomenon to hit bookstores - bestselling Harlequin romance fiction
and female-friendly Japanese manga!",en,Comics & Graphic Novels
40957,40957,1573226882,Fever Pitch,Nick Hornby,1998.0,Riverhead Books,http://images.amazon.com/images/P/1573226882.01.MZZZZZZZ.jpg,"An autobiographical memoir by a humorous British author and obsessed
soccer fan captures the intensity of a sports fan who measures his
life in seasons rather than years",en,Biography & Autobiography
40980,40980,1583140379,Fools Rush in (Arabesque),Gwynne Forster,1999.0,Bet Books,http://images.amazon.com/images/P/1583140379.01.MZZZZZZZ.jpg,"Justine Montgomery takes a job as a nanny in order to watch over the
child she regrets giving up for adoption, but Duncan Banks, the
baby&#39;s divorced adoptive father, uncovers her secret as well as an
unexpected growing passion between them",en,Fiction
40983,40983,1592571301,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,2003.0,Alpha Books,http://images.amazon.com/images/P/1592571301.01.MZZZZZZZ.jpg,"Written by a native signer, this book teaches the basics of American
Sign Language through photographs, grouping signs by subjects, and
includes nonmanual signals, a history of the language, and an
introduction to deaf culture.",en,Language Arts & Disciplines
40984,40984,1861870019,"My Daughter, My Joy: The Greatest Tributes to Daughters That Have Ever Been Written",Helen Exley,1998.0,Exley Giftbooks,http://images.amazon.com/images/P/1861870019.01.MZZZZZZZ.jpg,9,9,9
40985,40985,1931081727,The Devil You Know,Poppy Z. Brite,2003.0,Subterranean Press,http://images.amazon.com/images/P/1931081727.01.MZZZZZZZ.jpg,"Some of these stories are set elsewhere, but Brite always returns home
in the end.",en,Fiction
40993,40993,0374270325,A Man in Full,Tom Wolfe,1998.0,Farrar Straus & Giroux,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg,A Man in Full is a 1998 National Book Award Finalist for Fiction.,en,Fiction
41056,41056,0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002.0,Vintage Books USA,http://images.amazon.com/images/P/0375719180.01.MZZZZZZZ.jpg,"Half Apache and orphaned, Edgar&#39;s trials begin on an Arizona
reservation at the age of seven when he is run over by the
mailman&#39;s jeep, after which he is taken from the hospital to a
school for delinquents to a Mormon foster family, and ...",en,Fiction
41133,41133,0440235502,October Sky: A Memoir,Homer Hickam,1999.0,Dell,http://images.amazon.com/images/P/0440235502.01.MZZZZZZZ.jpg,"The life and times of aerospace engineer Home Hickman and his friends
in Big Creek, West Virginia.",en,Aerospace engineers
41198,41198,1573225487,The Romance Reader,Pearl Abraham,1996.0,Riverhead Books,http://images.amazon.com/images/P/1573225487.01.MZZZZZZZ.jpg,9,9,9
